"AID","GSWGT4_2"
"57235039",4926.749903258
"57239363",4801.20426037
"57239974",4012.498590669
"57241075",2364.399858792
"57241170",5547.017471402
"57242812",4381.328724882
"57242885",4102.646346634
"57245293",4443.691558202
"57245315",1426.804320717
"57245379",5574.972120149
"57248884",4656.461630934
"57249576",3708.481674726
"57251197",2865.350343419
"57256290",4447.190840936
"57258682",5709.308944895
"57258751",476.918388905
"57262270",2616.870702931
"57263513",6232.138574972
"57265490",3160.472324969
"57268298",2745.213270628
"57272130",3103.337827756
"57272274",1603.638187764
"57275298",2925.007120591
"57275660",3949.875138967
"57277289",1678.841272755
"57277290",1340.787309055
"57279640",7419.913619351
"88122937",7600.073456297
"88149345",1654.515381104
"88183732",6306.576412215
"88191219",4040.944943152
"88191364",3882.011417601
"88202138",5058.223332508
"88239382",6412.104005801
"88249047",4331.872521506
"88251811",3415.32498145
"88268811",7912.751863415
"90316053",4330.268298687
"90316656",5603.730772424
"90500059",4026.500072866
"90500459",304.870697051
"90500516",4933.332866433
"90500638",4635.291133988
"90500914",1224.092171271
"90500974",4464.285521013
"90501955",8987.995847534
"90503807",4664.162098989
"90504005",1143.393029775
"90504104",881.762418106
"90504142",4061.046214363
"90504220",6141.80281832
"90504248",5762.684790478
"90504280",9810.846412579
"90504500",881.762418106
"90504504",579.846122088
"90504603",780.374856009
"90504786",6972.539960191
"90506040",1752.16838065
"90506094",4263.394157202
"90506203",3808.765179086
"90506236",3439.605970325
"90506268",4447.190840936
"90506372",4739.583404631
"90506397",442.858712136
"90506428",3437.787974474
"90506472",4075.990426065
"90506725",3947.612036662
"90506828",3437.787974474
"90506849",2429.205765735
"90506987",3582.399650771
"90507350",4397.128287059
"90507957",4283.460899771
"90508033",4399.279024208
"90508165",2028.141394518
"90508325",758.286830456
"90508577",15944.457474881
"90508969",3592.534326305
"90540850",4429.685617193
"90543102",4158.770050085
"90543104",4292.391139109
"90544989",5976.0514921
"90546223",3619.494540592
"90548078",18834.047290007
"90570023",2300.944620661
"90570051",4485.011516003
"90570180",942.187217268
"90570184",5860.653880044
"90570190",4284.10577755
"90570220",2101.633723764
"90570222",2101.633723764
"90570280",8503.49369254
"90570282",942.187217268
"90570373",4747.385302935
"90570388",8503.49369254
"90570412",4357.562125377
"90570531",4347.660343323
"90570582",1794.052040608
"90570626",4782.966704368
"90570628",1898.745323427
"90570655",372.720804026
"90570697",5811.425030093
"90570725",2182.55235519
"90570778",5574.972120149
"90570820",4701.716275111
"90570892",4466.01388269
"90570992",4652.646868685
"90571004",3216.097308411
"90571069",4553.411182983
"90571074",7523.068117845
"90571103",2606.280745868
"90571107",2396.249890599
"90571208",3216.097308411
"90571210",5242.200602108
"90571214",2943.225406004
"90571217",3057.138811639
"90571276",2135.547639831
"90571315",3734.070814363
"90571401",2244.102736772
"90571402",2742.856249689
"90571418",2943.225406004
"90571461",4610.76913576
"90571462",4610.76913576
"90571472",1947.846304241
"90571805",2396.249890599
"90571816",3057.138811639
"90571861",6037.571382393
"90571907",2606.280745868
"90571913",3047.810895907
"90571914",3437.2878057
"90571971",2508.619386159
"90571979",776.864431749
"90572007",4559.000751538
"90572049",7040.718137331
"90572070",5559.183237878
"90572147",7040.718137331
"90572169",5055.715488254
"90572172",3762.777717803
"90572177",4533.660294271
"90572192",2836.117642578
"90572198",1970.498467062
