"AID","ResidentMotherPresence","ResidentFatherPresence","ResidentBiologicalParents","ParentMarried","ParentPartnered","HouseholdSize","NumberSiblings","BirthOrder","ParentAge","MotherEducation","FatherEducation","MotherOccupationPrestige","FatherOccupationPrestige","MotherWorkForPay","FatherWorkForPay","FamilyIncome","PublicAssistance","Welfare","EconomicHardship","FamilySocialSupport","SharedDinner","IntergenerationalClosure","ParentConnectionFriends","MotherRelationshipQuality","FatherRelationshipQuality","MotherSharedActivity","FatherSharedActivity","ParentPartnerRelationship","ParentControl","MotherSupervision","FatherSupervision","MotherInvolveSchool","FatherInvolveSchool","ParentPTA","ParentFundRaise","ParentMetTeacher","MotherEducationExpectation","FatherEducationExpectation","MotherNativity","FatherNativity","ParentYearsInUS","ParentReligiosity","EnglishHome","ParentHealth","ParentSmoke","MotherAlcoholic","FatherAlcoholic","MotherObese","FatherObese","MotherDisable","FatherDisable","SmokerHousehold","DrugHousehold","FamilyAccessMedicalCare","ParentPreviousRelationship","NonresidentBioFatherDeceased","YearsLiveStepfather","BornToAdolescentParent","Sex","Age","Latinx","Black","NativeAmerican","AAPI","OtherRace","EmotionalAbuse","PhysicalAbuse","BioMotherIncarceration","BioFatherIncarceration","EducationAttainment"
"92572383",1,1,1,1,1,7,3,1,33,10,10,5,2,1,1,2.99573227355399,NA,1,1,3.75,4,6,3,4.4,4.2,3,7,-0.329350225757261,2,2,1,0,2,0,0,1,3,3,1,1,33,3.5,1,5,1,0,0,0,0,0,0,1,0,3,1,0.7259314,7.569198,1,1,17.5833333333333,0,1,0,0,0,0,0,0,0,10
"92572390",1,0,0,NA,NA,5,2,1,NA,8,13.36908,3,3.347201,1,0.929593,NA,NA,NA,NA,4.25,5,NA,NA,4.4,4.243704,4,2.910392,NA,1,2,1.100092,1,1.068472,NA,NA,NA,4,4.363035,0,0.8700154,NA,NA,0,NA,NA,NA,0.06048632,NA,0.1127865,0,0.05724351,NA,0,NA,NA,1,7.569198,NA,1,17,1,0,1,0,0,1,0,0,0,12
"92572397",1,1,1,1,1,2,0,3,44,10,12,4,2,1,1,4.02535169073515,0,0,0,3.75,7,3,3,4.8,4.8,5,4,0.532608135940035,1,2,2,2,1,0,NA,NA,5,5,1,1,44,2,1,4,1,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,0,18.4166666666667,0,0,0,0,0,1,0,0,0,14
"92572408",1,1,1,1,1,3,1,4,46,13,16,3,5,1,1,4.00733318523247,0,0,0,3.5,1,2,3,4.4,3.8,2,1,-0.329350225757261,0,2,2,1,1,0,NA,NA,4,4,1,1,46,3,1,3,0,0,0,0,0,0,0,1,0,3,1,0.7259314,7.569198,0,1,17,0,0,0,0,0,2,5,0,0,14
"92572444",1,1,0,NA,NA,4,1,1,NA,14,8,2,3,0,1,NA,NA,NA,NA,4,4,NA,NA,4.4,4,4,0,NA,2,3,2,0,0,NA,NA,NA,5,5,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,2,NA,1,16.0833333333333,0,0,0,0,0,0,0,0,NA,17
"92572648",1,1,1,1,1,2,0,NA,44,10,12,1,3,0,1,3.43398720448515,0,0,0,4,6,0,3,4.6,4.4,1,0,0.0715015766088781,0,3,0,0,0,0,NA,NA,2,4,1,1,44,2.5,1,4,1,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,1,16.75,0,0,0,0,1,0,0,0,0,10
"92572665",1,1,1,1,1,4,2,1,32,12,14,3,2,1,1,3.76120011569356,0,0,0,4.25,7,6,3,4.4,3.6,6,3,0.131756333573896,3,2,2,3,2,1,0,1,4,4,1,1,32,3.5,1,5,1,0,NA,0,0,0,0,1,0,4,1,0.7259314,7.569198,1,1,14.6666666666667,0,0,0,0,0,0,0,0,0,12
"92572669",1,1,1,1,1,4,2,3,40,12,12,2,3,1,1,2.70805020110221,0,0,1,5,4,0,2,4,4.4,3,2,-0.469521369975313,4,3,2,1,0,0,NA,NA,5,5,1,1,40,4,1,2,1,0,0,0,0,0,0,1,0,3,1,0.7259314,7.569198,0,0,15.5,0,0,0,0,0,1,1,0,0,17
"92572802",1,1,1,1,1,4,2,1,46,16,16,5,5,1,1,4.56434819146784,0,0,0,4.25,4,2,3,4.8,3,6,5,-0.930627929306469,1,1,1,1,2,0,NA,NA,5,4.5,1,1,46,3.5,1,5,0,0,1,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,0,16.6666666666667,0,0,0,0,0,0,0,0,1,16
"92572803",1,0,0,1,1,3,1,2,45,12,13.36908,5,3.347201,1,0.929593,3.46573590279973,0,0,0,3.5,4,2,3,4.2,4.243704,3,2.910392,-1.70622029794432,2,2,1.100092,2,1.068472,0,0,1,3,4.363035,1,0.8700154,45,2.5,1,3,0,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,4,1,7.569198,0,0,15.4166666666667,0,0,0,0,0,4,2,0,0,12
"92572842",1,1,1,1,1,2,0,3,47,12,16,5,5,1,1,3.98898404656427,0,0,0,5,6,0,3,5,5,3,3,0.332182234756965,0,3,0,2,2,0,NA,NA,4,4,1,1,47,4,1,4,1,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,0,17.5833333333333,0,0,0,0,0,0,0,0,0,14
"92572864",1,1,0,1,1,6,3,2,33,16,16,5,5,0,1,4.39444915467244,0,0,0,4.75,7,2,3,5,4.8,8,8,0.332182234756965,5,3,2,3,3,0,0,1,5,5,1,1,33,4,1,4,1,0,NA,0,NA,0,0,1,0,4,2,1,7.569198,0,1,13.25,NA,0,0,0,0,0,0,0,1,14
"92572906",1,1,1,1,1,2,0,2,53,12,12,4,3,1,1,3.93182563272433,0,0,0,3.75,7,6,3,4.4,4.6,3,3,0.332182234756965,1,2,1,1,0,0,1,1,4,4,1,1,53,3.5,1,5,0,0,0,0,0,0,0,0,0,4,1,0.7259314,7.569198,0,0,18.0833333333333,0,0,0,0,0,2,0,0,0,16
"92572916",1,1,1,1,1,5,2,2,37,12,12,5,3,1,1,NA,0,0,0,4,7,2,3,4.6,5,2,2,NA,2,2,1,0,0,1,0,1,2,2,1,1,37,3,1,5,1,0,0,0,0,0,0,NA,0,4,1,0.7259314,7.569198,0,1,14.75,0,0,0,0,0,1,0,0,0,14
"92572918",1,0,0,0,0,2,1,2,40,14,13.36908,4,3.347201,1,0.929593,NA,0,0,0,4.5,5,0,3,5,4.243704,5,2.910392,-0.0005413742,1,1,1.100092,2,1.068472,0,0,1,4,4.363035,1,0.8700154,40,2,1,4,1,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,1,1,7.569198,0,1,16.5833333333333,0,0,0,0,0,1,0,0,0,14
